Unnamed: 0,region
0,Agripada
1,Airoli
2,Ambarnath
3,Ambernath East
4,Ambernath West
5,Ambivali
6,Andheri East
7,Andheri West
8,Anjurdive
9,Asangaon
10,Babulnath Road
11,Badlapur
12,Badlapur East
13,Badlapur West
14,Bandra East
15,Bandra Kurla Complex
16,Bandra West
17,Belapur
18,Bhandup East
19,Bhandup West
20,Bhayandar East
21,Bhayandar West
22,Bhiwandi
23,Boisar
24,Borivali
25,Borivali East
26,Borivali West
27,Byculla
28,Chembur
29,Colaba
30,Cuffe Parade
31,Dadar East
32,Dadar West
33,Dahisar
34,Dahisar East
35,Dahisar West
36,Deonar
37,Dharavi
38,Diva
39,Dombivali
40,Dombivali East
41,Dombivli (West)
42,Dronagiri
43,Fort
44,Ghansoli
45,Ghatkopar East
46,Ghatkopar West
47,Girgaon
48,Goregaon East
49,Goregaon West
50,Govandi
51,Hiranandani Estates
52,Jogeshwari East
53,Jogeshwari West
54,Juhu
55,Juinagar
56,Kalamboli
57,Kalher
58,Kalwa
59,Kalyan East
60,Kalyan West
61,Kamothe
62,Kandivali East
63,Kandivali West
64,Kanjurmarg
65,Kanjurmarg East
66,Karanjade
67,Karjat
68,Kasheli
69,Kewale
70,Khar
71,Khar West
72,Khardi
73,Kharghar
74,Khopoli
75,Koper Khairane
76,Koproli
77,Kurla
78,Kurla East
79,Lower Parel
80,MATUNGA WEST
81,Mahalaxmi
82,Mahavir Nagar
83,Mahim
84,Mahim West
85,Malad East
86,Malad West
87,Manpada
88,Marine Lines
89,Matunga
90,Mazagaon
91,Mazgaon
92,Mira Road
93,Mira Road East
94,Mulund
95,Mulund East
96,Mulund West
97,Mumbai Central
98,Nahur East
99,Naigaon East
100,Nala Sopara
101,Nalasopara East
102,Nalasopara West
103,Napeansea Road
104,Naupada
105,Navade
106,Neral
107,Nerul
108,Nilje Gaon
109,Owale
110,Palava
111,Palghar
112,Panch Pakhdi
113,Panvel
114,Parel
115,Patlipada
116,Peddar Road
117,Powai
118,Prabhadevi
119,Rabale
120,Rasayani
121,Sanpada
122,Santacruz East
123,Santacruz West
124,Saphale
125,Seawoods
126,Sector 12 Kharghar
127,Sector 17 Ulwe
128,Sector 19 Kamothe
129,Sector 19 Kharghar
130,Sector 20 Kamothe
131,Sector 21 Kamothe
132,Sector 22 Kamothe
133,Sector 23 Ulwe
134,Sector 30 Kharghar
135,Sector-12 Kamothe
136,Sector-9 Ulwe
137,Sewri
138,Shahapur
139,Shil Phata
140,Sion
141,Taloja
142,Taloje
143,Tardeo
144,Thane East
145,Thane West
146,Tilak Nagar
147,Titwala
148,Ulhasnagar
149,Ulwe
150,Umroli
151,Vangani
152,Vasai
153,Vasai east
154,Vashi
155,Vasind
156,Vichumbe
157,Vikhroli
158,Vikroli East
159,Ville Parle East
160,Ville Parle West
161,Virar
162,Virar East
163,Virar West
164,Wadala
165,Worli
166,kandivali
167,kasaradavali thane west
